Database,Publisher,User_Activity,FY 2014,FY 2015,FY 2016,FY 2017
EBM Reviews - Cochrane Database of Systematic Reviews,Wiley,Searches-federated and automated,0,0,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Record Views,3,0,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Regular Searches,917,0,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Result Clicks,24,0,NA,NA
EBM Reviews - Cochrane Methodology Register,Wiley,Searches-federated and automated,0,0,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,Record Views,58,0,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,Regular Searches,919,0,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,Result Clicks,429,0,NA,NA
EBM Reviews - Database of Abstracts of Reviews of Effects,Wiley,Searches-federated and automated,0,0,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,Record Views,2,0,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,Regular Searches,916,0,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,Result Clicks,16,0,NA,NA
EBM Reviews - Health Technology Assessment,Wiley,Searches-federated and automated,0,0,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,Record Views,5,0,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,Regular Searches,916,0,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,Result Clicks,12,0,NA,NA
EBM Reviews - NHS Economic Evaluation Database,Wiley,Searches-federated and automated,0,0,NA,NA
eBook Collection (EBSCOhost),EBSCO,Record Views,1612,2190,2204,1303
eBook Collection (EBSCOhost),EBSCO,Regular Searches,4125,3737,2961,1894
eBook Collection (EBSCOhost),EBSCO,Result Clicks,2723,3735,4038,2486
eBook Collection (EBSCOhost),EBSCO,Searches-federated and automated,42,1923,6145,5245
EBSCO eClassics Collection (EBSCOhost),EBSCO,Record Views,NA,NA,0,0
EBSCO eClassics Collection (EBSCOhost),EBSCO,Regular Searches,NA,NA,216,0
EBSCO eClassics Collection (EBSCOhost),EBSCO,Result Clicks,NA,NA,0,0
EBSCO eClassics Collection (EBSCOhost),EBSCO,Searches-federated and automated,NA,NA,0,0
ECONIS,EBSCO,Record Views,NA,1,0,NA
ECONIS,EBSCO,Regular Searches,NA,0,0,NA
ECONIS,EBSCO,Result Clicks,NA,1,0,NA
ECONIS,EBSCO,Searches-federated and automated,NA,149,0,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,Record Views,NA,0,0,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,Regular Searches,NA,0,0,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,Result Clicks,NA,0,0,NA
EDS consolidated db (FULL - use conedsqd2),EBSCO,Searches-federated and automated,NA,3,0,NA
EDS consolidated db (QD facet) no7,EBSCO,Record Views,NA,NA,0,0
EDS consolidated db (QD facet) no7,EBSCO,Regular Searches,NA,NA,0,0
EDS consolidated db (QD facet) no7,EBSCO,Result Clicks,NA,NA,0,0
EDS consolidated db (QD facet) no7,EBSCO,Searches-federated and automated,NA,NA,0,46
EDS consolidated db (QD facet) no8,EBSCO,Record Views,NA,NA,0,0
EDS consolidated db (QD facet) no8,EBSCO,Regular Searches,NA,NA,0,0
EDS consolidated db (QD facet) no8,EBSCO,Result Clicks,NA,NA,0,0
EDS consolidated db (QD facet) no8,EBSCO,Searches-federated and automated,NA,NA,0,221
EDS consolidated db (QD facet) no9,EBSCO,Record Views,NA,NA,0,0
EDS consolidated db (QD facet) no9,EBSCO,Regular Searches,NA,NA,0,1
EDS consolidated db (QD facet) no9,EBSCO,Result Clicks,NA,NA,0,0
EDS consolidated db (QD facet) no9,EBSCO,Searches-federated and automated,NA,NA,0,0
EDS Consolidated NZL,EBSCO,Record Views,NA,NA,0,0
EDS Consolidated NZL,EBSCO,Regular Searches,NA,NA,0,0
EDS Consolidated NZL,EBSCO,Result Clicks,NA,NA,0,0
EDS Consolidated NZL,EBSCO,Searches-federated and automated,NA,NA,0,54
EDS consolidation db #1 (coneds1),EBSCO,Record Views,NA,NA,0,2
EDS consolidation db #1 (coneds1),EBSCO,Regular Searches,NA,NA,0,0
EDS consolidation db #1 (coneds1),EBSCO,Result Clicks,NA,NA,0,2
EDS consolidation db #1 (coneds1),EBSCO,Searches-federated and automated,NA,NA,30,666
"Education in Video, Volume 1",Alexander Street Press,Record Views,5,28,29,0
"Education in Video, Volume 1",Alexander Street Press,Regular Searches,5,159,39,28
"Education in Video, Volume 1",Alexander Street Press,Result Clicks,0,22,8,0
"Education in Video, Volume 1",Alexander Street Press,Searches-federated and automated,0,0,0,0
Education Research Complete,EBSCO,Record Views,2927,3361,4258,2505
